batch_id,announcement_id,stock_code,stock_name,title,publish_time,announcement_type_raw,announcement_type,action,need_ai,need_pdf,pre_score,matched_keywords,event_type,primary_theme_id,primary_theme_name,secondary_theme_id,secondary_theme_name,trade_priority,final_score,risk_flags,signal_direction,risk_priority,pdf_parsed,pdf_unparsed_score_cap,pdf_download_status,pdf_parse_status,pdf_text_length,pdf_extraction_method,related_stocks_count,validation_errors,postprocess_notes,error_tags,processing_status
cninfo_20260614_191450,1225370175,000710.SZ,贝瑞基因,第十届董事会第二十三次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,board_resolution,archive,False,False,15,董事会第,board_resolution,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370174,002182.SZ,宝武镁业,宝武镁业董事及高级管理人员薪酬管理制度（2026年6月）,2026-06-15T00:00:00,01010503||010112||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370173,002182.SZ,宝武镁业,关于召开2026年第一次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,shareholder_meeting_notice,archive,False,False,8,临时股东会,shareholder_meeting_notice,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370172,002182.SZ,宝武镁业,第七届董事会第十六次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,board_resolution,archive,False,False,15,董事会第,board_resolution,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370171,000030.SZ,富奥股份,对外担保公告,2026-06-15T00:00:00,01010503||010112||011711,external_guarantee,watch,True,True,55,对外担保公告,external_guarantee,auto_parts,汽车零部件,,,candidate,55,guarantee_risk,mixed,watch,False,65,not_required,not_required,0,,1,,"当前阶段：标题级处理，未进行PDF全文解析,标题级未解析PDF，评分上限65",,success
cninfo_20260614_191450,1225370170,000030.SZ,富奥股份,关于召开2026年第三次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,shareholder_meeting_notice,archive,False,False,8,临时股东会,shareholder_meeting_notice,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370169,000030.SZ,富奥股份,董事会决议公告,2026-06-15T00:00:00,01010503||010112||01239901,board_resolution,archive,False,False,15,董事会决议,board_resolution,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370168,000758.SZ,中色股份,关于控股子公司赤峰中色白音诺尔矿业有限公司投资165万吨年铅锌矿采选扩建项目的进展公告,2026-06-15T00:00:00,01010503||010112||011705,project_expansion_progress,analyze,True,True,75,扩建项目,project_expansion_progress,nonferrous_metals,有色金属,lead_zinc,铅锌,high,75,,positive,none,False,75,not_required,not_required,0,,1,,"当前阶段：标题级处理，未进行PDF全文解析,标题级未解析PDF，评分上限75",,success
cninfo_20260614_191450,1225370167,301178.SZ,天亿马,广东天亿马信息产业股份有限公司董事、高级管理人员薪酬与考核管理制度,2026-06-15T00:00:00,01010503||010112||010115||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370166,301178.SZ,天亿马,广东天亿马信息产业股份有限公司关于召开2026年第二次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||010115||011901,shareholder_meeting_notice,archive,False,False,8,临时股东会,shareholder_meeting_notice,,,,,watch,8,,,,False,,not_required,not_required,0,,1,,,,success
cninfo_20260614_191450,1225370165,301178.SZ,天亿马,第四届董事会第八次会议决议公告,2026-06-15T00:00:00,01010503||010112||010115||01239901,board_resolution,archive,False,False,15,董事会第,board_resolution,,,,,watch,15,,,,False,,not_required,not_required,0,,1,,,,success
