batch_id,announcement_id,stock_code,stock_name,title,publish_time,announcement_type_raw,announcement_type,action,need_ai,need_pdf,pre_score,matched_keywords,event_type,primary_theme_id,primary_theme_name,trade_priority,final_score,risk_flags,related_stocks_count,validation_errors,postprocess_notes,error_tags,processing_status
cninfo_20260614_173054,1225370172,002182.SZ,宝武镁业,第七届董事会第十六次会议决议公告,2026-06-15T00:00:00,01010503||010112||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370171,000030.SZ,富奥股份,对外担保公告,2026-06-15T00:00:00,01010503||010112||011711,external_guarantee,watch,True,True,55,对外担保公告,external_guarantee,,,candidate,55,,1,,当前阶段：标题级处理，未进行PDF全文解析,,success
cninfo_20260614_173054,1225370170,000030.SZ,富奥股份,关于召开2026年第三次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370169,000030.SZ,富奥股份,董事会决议公告,2026-06-15T00:00:00,01010503||010112||01239901,board_resolution,archive,False,False,15,董事会决议,board_resolution,,,watch,15,,1,,,,success
cninfo_20260614_173054,1225370168,000758.SZ,中色股份,关于控股子公司赤峰中色白音诺尔矿业有限公司投资165万吨年铅锌矿采选扩建项目的进展公告,2026-06-15T00:00:00,01010503||010112||011705,project_expansion_progress,analyze,True,True,75,扩建项目,project_expansion_progress,,,high,75,,1,,当前阶段：标题级处理，未进行PDF全文解析,,success
cninfo_20260614_173054,1225370167,301178.SZ,天亿马,广东天亿马信息产业股份有限公司董事、高级管理人员薪酬与考核管理制度,2026-06-15T00:00:00,01010503||010112||010115||013105||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,watch,8,,1,,,,success
cninfo_20260614_173054,1225370166,301178.SZ,天亿马,广东天亿马信息产业股份有限公司关于召开2026年第二次临时股东会的通知,2026-06-15T00:00:00,01010503||010112||010115||011901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370165,301178.SZ,天亿马,第四届董事会第八次会议决议公告,2026-06-15T00:00:00,01010503||010112||010115||01239901,routine_unclassified,archive,False,False,10,流程类未分类,routine_unclassified,,,watch,10,,1,,,,success
cninfo_20260614_173054,1225370164,300121.SZ,阳谷华泰,关于公司发生安全事故的公告,2026-06-15T00:00:00,01010501||010112||010115||012399,safety_accident,risk_review,True,True,85,安全事故,safety_accident,,,urgent,85,,1,,当前阶段：标题级处理，未进行PDF全文解析,,success
cninfo_20260614_173054,1225370163,300479.SZ,神思电子,薪酬管理制度,2026-06-15T00:00:00,01010503||010112||010115||013199,governance_policy_revision,archive,False,False,8,管理制度,governance_policy_revision,,,watch,8,,1,,,,success
