theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
semiconductor,半导体,H30184.CSI,159995.SZ,芯片ETF华夏,国证半导体芯片指数收益率,keyword:半导体,20200210
semiconductor,半导体,H30184.CSI,512760.SH,芯片ETF国泰,中华交易服务半导体芯片行业指数收益率,keyword:半导体,20190612
semiconductor,半导体,H30184.CSI,512480.SH,半导体ETF国联安,中证全指半导体产品与设备指数收益率,keyword:半导体,20190612
consumer_electronics,消费电子,931494.CSI,159178.SZ,消费电子ETF汇添富,国证消费电子主题指数收益率,keyword:消费电子,20260428
consumer_electronics,消费电子,931494.CSI,159153.SZ,消费电子ETF鹏华,国证消费电子主题指数收益率,keyword:消费电子,20260209
consumer_electronics,消费电子,931494.CSI,561100.SH,消费电子ETF富国,中证消费电子主题指数收益率,keyword:消费电子,20220208
consumer_electronics,消费电子,931494.CSI,562950.SH,消费电子ETF易方达,中证消费电子主题指数收益率,keyword:消费电子,20220120
consumer_electronics,消费电子,931494.CSI,159779.SZ,消费电子ETF招商,中证消费电子主题指数收益率,keyword:消费电子,20211126
consumer_electronics,消费电子,931494.CSI,561310.SH,消电ETF国泰,中证消费电子主题指数收益率,keyword:消费电子,20211125
consumer_electronics,消费电子,931494.CSI,561600.SH,消费电子ETF平安,中证消费电子主题指数收益率,keyword:消费电子,20210909
consumer_electronics,消费电子,931494.CSI,159732.SZ,消费电子ETF华夏,国证消费电子主题指数收益率,keyword:消费电子,20210823
compute,算力基础设施,931865.CSI,589020.SH,科创半导体设备ETF鹏华,上证科创板半导体材料设备主题指数收益率,keyword:半导,20250904
compute,算力基础设施,931865.CSI,588710.SH,科创半导体设备ETF华泰柏瑞,上证科创板半导体材料设备主题指数收益率,keyword:半导,20250604
compute,算力基础设施,931865.CSI,588170.SH,科创半导体ETF华夏,上证科创板半导体材料设备主题指数收益率,keyword:半导,20250408
compute,算力基础设施,931865.CSI,159325.SZ,半导体ETF南方,中证半导体行业精选指数收益率,keyword:半导,20241108
compute,算力基础设施,931865.CSI,159327.SZ,半导体设备ETF万家,中证半导体材料设备主题指数收益率,keyword:半导,20240805
compute,算力基础设施,931865.CSI,159558.SZ,半导体设备ETF易方达,中证半导体材料设备主题指数收益率,keyword:半导,20240618
compute,算力基础设施,931865.CSI,159582.SZ,半导体ETF博时,中证半导体产业指数收益率,keyword:半导,20240416
compute,算力基础设施,931865.CSI,560780.SH,半导体设备ETF广发,中证半导体材料设备主题指数收益率,keyword:半导,20231212
compute,算力基础设施,931865.CSI,562590.SH,半导体设备ETF华夏,中证半导体材料设备主题指数收益率,keyword:半导,20231018
compute,算力基础设施,931865.CSI,561980.SH,半导体设备ETF招商,中证半导体产业指数收益率,keyword:半导,20230901
compute,算力基础设施,931865.CSI,159516.SZ,半导体设备ETF国泰,中证半导体材料设备主题指数收益率,keyword:半导,20230727
compute,算力基础设施,931865.CSI,501225.SH,全球芯片LOF,费城半导体指数收益率(PHLX Semiconductor Sector Index)(使用估值汇率调整)*75%+中证芯片产业指数收益率*15%+人民币活期存款利率(税后)*10%,keyword:半导,20230414
compute,算力基础设施,931865.CSI,159665.SZ,半导体龙头ETF工银,国证半导体芯片指数收益率,keyword:半导,20230106
compute,算力基础设施,931865.CSI,513310.SH,中韩半导体ETF华泰柏瑞,中证韩交所中韩半导体指数收益率,keyword:半导,20221222
compute,算力基础设施,931865.CSI,159813.SZ,半导体ETF鹏华,国证半导体芯片指数收益率,keyword:半导,20200525
compute,算力基础设施,931865.CSI,159801.SZ,芯片ETF广发,国证半导体芯片指数收益率,keyword:半导,20200218
compute,算力基础设施,931865.CSI,159995.SZ,芯片ETF华夏,国证半导体芯片指数收益率,keyword:半导,20200210
