theme_id,theme_name,etf_code,etf_name,benchmark,list_date
dividend,红利,561060.SH,国企红利ETF华安,中证国有企业红利指数收益率,2023-09-21
dividend,红利,563020.SH,红利低波ETF易方达,中证红利低波动指数收益率,2023-12-14
dividend,红利,159547.SZ,红利低波ETF华夏,中证红利低波动指数收益率,2024-02-06
hktech,港股科技,501312.SH,海外科技LOF,经人民币汇率调整的纳斯达克100指数收益率*80%+恒生科技指数收益率*10%+中证综合债指数收益率*10%,2023-04-25
metal,有色金属,512400.SH,有色金属ETF南方,中证申万有色金属指数收益率,2017-09-01
metal,有色金属,516650.SH,有色金属ETF华夏,中证细分有色金属产业主题指数收益率,2021-06-21
metal,有色金属,159881.SZ,有色金属ETF国泰,中证有色金属指数收益率,2021-07-01
metal,有色金属,561330.SH,矿业ETF国泰,中证有色金属矿业主题指数收益率,2022-11-01
metal,有色金属,159690.SZ,有色矿业ETF招商,中证有色金属矿业主题指数收益率,2023-07-06
metal,有色金属,159168.SZ,有色ETF富国,中证工业有色金属主题指数收益率,2026-02-12
metal,有色金属,512940.SH,有色ETF华安,中证有色金属矿业主题指数收益率,2026-02-26
metal,有色金属,159171.SZ,工业有色ETF博时,中证工业有色金属主题指数收益率,2026-03-05
metal,有色金属,560470.SH,有色ETF易方达,中证细分有色金属产业主题指数收益率,2026-04-30
metal,有色金属,159032.SZ,工业有色ETF易方达,中证工业有色金属主题指数收益率,2026-05-13
